STORE_NUM,TYPE,ADDRESS,CITY,POSTCODE,STATE_REGION,STATUS,PHONE,DISTRICT_MANAGER,DM_CONTACT_NUM,HALAL,CAFE,NO_OF_DRIVETHRU,DTD,SET_UP_PRICE
3467,FSDT-Single,Cnr Pacific Hwy & Renwick St,Wyoming (10 panel),2250,NSW,Trading,+61 2 4661 3895,Bijen Batajoo,0403 240 642,0,0,1,1DT,36.05
3600,FSDT-Single,Corner Bradshaw Tce. & Trower Rd.,Darwin (Casuarina),810,NT,Trading,+61 8 8945 0340,Nancy Sapra,0424 951 821,0,0,,,25.82
3601,FSDT-Single,45 Stuart Highway,Alice Springs,839,NT,Trading,+61 8 8953 1377,Nancy Sapra,0424 951 821,0,0,,,25.82
3602,FSDT-Single,1 Maluka Street,Palmerston,830,NT,Trading,+61 8 8931 3851,Nancy Sapra,0424 951 821,0,0,,,25.82
3603,DT-Single,Cnr Smith St + Darley Road,Darwin (Smith Street),800,NT,Trading,+61 8 8911 0010,Nancy Sapra,0424 951 821,0,0,,,25.82
3604,DT-Dual,425 Stuart Highway Coolalinga ,Coolalinga,839,NT,Trading,+61 8 8911 0015,Nancy Sapra,0424 951 821,0,0,,,25.82
8600,Inline,"1 Henry Wrigley Dr, Eaton NT 0821",Darwin Airport,810,NT,Temp Closure,+61 8 9828 1244,Jodie Townley,0402 982 081,0,0,,,27.04
3653,FSDT-Single,12 ? 16 Keong Road Albany Creek QLD ,Albany Creek,4035,QLD South,Trading,+61 7 3112 7157,Adam Bishop,0413 149 399,0,0,,1DTD,25.82
3509,FSDT-Single,Cnr Finucane Road & Cambridge St.,Alexandra Hills,4161,QLD South,Trading,+61 7 3824 4533,Adam Bishop,0413 149 399,0,0,,1DT,25.82
3514,FSDT-Single,1939 Beaudesert Rd,Algester,4115,QLD South,Trading,+61 7 3273 6041,Adam Harper,0430 539 915,0,0,,1DT,25.82
3544,FSDT-Single,Annandale S/C Cnr University Rd & Macarthur Dve,Annandale (Townsville),4814,QLD North,Trading,+61 7 4755 0111,Brad Tobin,0404 085 419,0,0,,1DT,26.48
3521,FSDT-Single,564 - 574 Ipswich Road,Annerley,4103,QLD South,Trading,+61 7 3892 2827,Bianca Falk,0438 292 395,0,0,,1DT,25.82
3507,FSDT-Single,12 Patricks Road,Arana Hills,4054,QLD South,Trading,+61 7 3351 3299,Adam Harper,0430 539 915,0,0,,1DT,25.82
3518,FSDT-Single,153-155 Cotlew Street,Ashmore,4214,QLD South,Trading,+61 7 3382 0227,Cameron Marsh,0433 319 419,0,0,,1DT,25.82
3659,DT-Single,1401 Gympie Rd,Aspley,4034,QLD South,Trading,+61 7 3263 5962,Adam Bishop,0413 149 399,0,0,,1DT,25.82
3589,Co-Brand-Single,"Shop T06, Brisbane Airport service centre, Moreton Drive, Brisbane airport QLD ",BAC,4008,QLD South,Trading,+61 7 3119 2593,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3477,FSDT-Single,Cnr Bangalow Rd & Kerr Street,Ballina,2478,QLD South,Trading,+61 2 6686 9124,Mick Yeo,0408 881 146,0,1,,1DT,25.82
3568,FSDT-Single,155-161 Brisbane Street,Beaudesert,4285,QLD South,Trading,+61 7 5541 0177,Mick Yeo,0408 881 146,0,0,,1DT,25.82
3651,FSDT-Dual,151 George St Beenleigh QLD ,Beenleigh,4207,QLD South,Trading,+61 7 5539 5400,Cameron Marsh,0433 319 419,0,0,,2DTD,25.82
8510,Inline,Gold Coast Airport - Eastern Avenue,Bilinga (Gold Coast Airport),4225,QLD,Temp Closure,+61 7 5599 5527,Jodie Townley,0402 982 081,0,0,,0DT,27.67
3585,FSDT-Single,"2105 Sangate Road Boondall, Qld ",Boondall,4034,QLD South,Trading,+61 7 3865 3550,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3500,FSDT-Single,213 Brisbane Road,Booval (Ipswich),4307,QLD South,Trading,+61 7 3282 2262,Debra Hayes,0415 939 412,0,0,,1DT,25.82
3598,FSDT-Dual,"145 Pine Mountain Road, Brassall? QLD ",Brassall,4305,QLD South,Trading ,?+ 61 7 3201 8198,Bianca Falk,0438 292 395,0,0,,2DTD,25.82
3531,Inline,129 Queen Street (Beak House),Brisbane (Beakhouse),4000,QLD South,Trading,+61 7 3221 6560,Debra Hayes,0415 939 412,0,0,,0DTD,25.82
3534,Inline,"Shop F104, Grand Plaza S/C, 27-49 Browns Plains Road",Browns Plains (Grand Plaza) Temporary closed,4118,QLD South,Temp Closure,+61 7 3800 5151,Debra Hayes,0430 539 915,0,0,,,25.82
3516,FSDT-Single,8 Browns Plains Road (Westpoint),Browns Plains (Westpoint),4118,QLD South,Trading,+61 7 3809 3711,Debra Hayes,0430 539 915,0,0,,1DT,26.39
3650,DT-Dual,140 Point Cartwright Dr Buddina QLD ,Buddina,4575,QLD North,Trading,+61 7 5302 6845,Sarah Taylor,0423 018 633,0,0,,2DTDD,25.82
3547,FSDT-Single,51-53 Takalvan Street,Bundaberg,4670,QLD North,Trading,+61 7 4154 3540,Suzanne Ewart,0434 272 661,0,0,,1DT,25.82
3533,FSDT-Single,"Burleigh West S/C, 149 West Burleigh Road",Burleigh West,4220,QLD South,Trading,+61 7 5576 7410,Mick Yeo,0408 881 146,0,0,,1DT,25.82
3593,DT-Single,"157-159 Station Road, Burpengary",Burpengary,4505,QLD North,Trading,+61 7 3888 5093,Andy Larsson,0439 514 736,0,0,,1DT,25.82
9500,Drive Thru,"Airport Ave Cairns City QLD, Queensland ",Cairns - New Wing (Airport),4870,QLD,Trading,+61 7 4035 9496,Jodie Townley,0402 982 081,0,0,,0DT,25.82
3542,FSDT-Single,Corner Bruce Hway & Foster Road,Cairns (Mt Sheridan),4868,QLD North,Trading,+61 7 4036 0499,Andy Larsson,0439 514 736,0,0,,1DT,26.5
3512,FSDT,"Westcourt Plaza, 274-302 Mulgrave Road",Cairns (Westcourt),4870,QLD North,Trading,+61 7 4031 1885,Andy Larsson,0439 514 736,0,0,,2DTDD,26.5
3563,Inline,"Shop FC07 Cairns Central S/C, 1-21 McLeod Street",Cairns Central,4870,QLD North,Trading,+61 7 4051 3698,Andy Larsson,0439 514 736,0,0,,0DT,26.48
3575,DT-Single,53 Caloundra Road,Caloundra West,4551,QLD North,Trading,+61 7 5437 0195,Sarah Taylor,0423 018 633,0,0,,1DT,25.82
3532,FSDT-Single,"Cannon Hill S/C, Cnr Creek Road & Wynnum Road",Cannon Hill,4170,QLD South,Trading,+61 7 3899 0162,Adam Bishop,0413 149 399,0,0,,1DTD,25.82
3539,Co-Brand-Single,1760 Gympie Road,Carseldine,4034,QLD South,Trading,+61 7 3862 7688,Adam Bishop,0413 149 399,0,0,,1DTD,25.82
3582,Co-Brand-Single, 4249 Bruce Highway (Glasshouse Nth),Coochin Creek (Glasshouse Nth),4518,QLD North,Trading,+61 7 5438 1508,Sarah Taylor,0423 018 633,0,0,,1DT,25.82
3581,Co-Brand-Single,4288 Bruce Highway (Glasshouse Sth),Coochin Creek (Glasshouse Sth),4518,QLD North,Trading,+61 7 5438 7508,Sarah Taylor,0423 018 633,0,0,,1DT,25.82
3562,DT-Single,"19 Kessels Road, Coopers Plains  QLD  ",Coopers Plains,4108,QLD South,Trading,+61 7 3277 8473,Bianca Falk,0438 292 395,0,0,,1DT,25.82
3557,Co-Brand-Single,Cnr Cunningham and Brayton Street,Dalby,4405,QLD South,Trading,+61 7 4669 6274,Mick Yeo,0408 881 146,0,0,,1DT,25.82
3660,FSDT-Single,11 Depot Road Deagon QLD ,Deagon,4017,QLD South,Trading,+61 7 3869 0657,Christina Flynn,0414 073 703,0,0,,1DTD,25.82
3587,FSDT-Single,"Shop P1, Deception Bay shopping centre, Cnr Deception Bay Rd & Bay Avenue QLD ",Deception Bay,4508,QLD South,Trading,+61 7 3293 4755,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3594,DT-Single,"1 Deeragun Village Shopping centre, 31 Geaney Lane",Deeragun,4818,QLD North,Trading,+61 7 4751 5811,Brad Tobin,0404 085 419,0,0,,1DT,26.48
3550,FSDT-Single,Corner Dawson Highway & Blain Drive,Gladstone,4630,QLD North,Trading,+61 7 4972 1288,Suzanne Ewart,0434 272 661,0,0,,1DT,25.9
3564,FSDT-Single,Cnr. Queen St & Cunningham Hwy,Goodna,4300,QLD South,Trading,+61 7 3288 5167,Debra Hayes,0415 939 412,0,0,,1DT,26.39
3595,DT-Dual,Cnr  Rose Street and Bruce Hwy,Gympie,4570,QLD North,Trading,+61 7 5482 5933,Sarah Taylor,0423 018 633,0,0,,2DT,25.82
3597,Co-Brand-Single,"Tenancy T1, 2306-2312 Warrego Highway, Haigslea  ",Haigslea,4306,QLD South,Trading,? + 61 7 5464 4330,Mick Yeo,0408 881 146,0,0,,1DTD,25.82
3590,FSDT-Single,"2 Siganto Drive, Helensvale QLD ",Helensvale,4212,QLD South,Trading,+61 7 5502 3055,Mick Yeo,0408 881 146,0,0,,1DT,25.82
3545,Co-Brand-Single,50 Bowen Bridge Road ,Herston,4006,QLD South,Trading,+61 7 3852 1887,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3565,FSDT-Single,Corner Boat Harbour Dr and Main St,Hervey Bay,4655,QLD North,Trading,+61 7 4191 4903,Suzanne Ewart,0434 272 661,0,0,,1DT,25.82
3556,Inline,Shop F6 Hinkler Shopping Centre,Hinkler,4670,QLD North,Trading,+61 7 4151 0696,Suzanne Ewart,0434 272 661,0,0,,0DT,25.9
3586,Co-Brand-Single,100 Edith Street,Innisfail,4860,QLD North,Trading,+61 7 4061 9033,Andy Larsson,0439 514 736,0,0,,1DT,25.82
3580,FSDT-Single,1385 Anzac Avenue ,Kallangur ,4503,QLD South,Trading,+61 7 3482 3002,Adam Bishop,0413 149 399,0,0,,1DT,25.82
3526,FSDT-Single,330 Gympie Road,Kedron,4032,QLD South,Trading,+61 7 3350 2509,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3577,FSDT-Tandem,577 Settlement Road,Keperra,4054,QLD South,Trading,+61 7 3351 7037,Adam Harper,0430 539 915,0,0,,2DT,25.82
3501,FSDT-Single,286-290 Anzac Avenue,Kippa-Ring,4020,QLD South,Trading,+61 7 3284 8286,Christina Flynn,0414 073 703,0,0,,1DT,25.82
3511,FSDT-Single,"Willows Shoppingtown 13 Thuringowa Dr, Thuringowa Central QLD ",Kirwan (Willows),4817,QLD North,Trading,+61 7 4723 1388,Brad Tobin,0404 085 419,0,0,,2DTDD,27.04
3505,FSDT-Single,148 Brisbane Road,Labrador,4215,QLD,Trading,+61 7 5537 2966,Jodie Townley,0402 982 081,0,1,,1DT,25.82
3312,FSDT-Single,48-52 Ballina Street,Lismore,2480,QLD South,Trading,+61 2 66224306,Mick Yeo,0408 881 146,0,1,,1DT,27.68
3517,FSDT-Single,3812 Pacific Highway,Loganholme,4129,QLD South,Trading,+61 7 3801 3801,Cameron Marsh,0430 539 915,0,0,,1DT,26.39
3515,FSDT-Single,4-6 Peel Street,Mackay,4740,QLD North,Trading,+61 7 4957 3300,Brad Tobin,0404 085 419,0,0,,1DT,26.48
3664,FSDT,"10 Eimeo Road, Rural View, QLD",Mackay Northern Beaches,4740,QLD North,Trading,,Brad Tobin,0404 085 419,0,1,,2DTDD,
3591,FSDT-Dual,"1859 Anzac Ave, Mango Hill",Mango Hill,4509,QLD South,Trading,+61 7 3204 2266,Christina Flynn,0414 073 703,0,0,,2DT,25.82
